country_code,year,value
862,2006,33.1
862,2007,27.5
862,2008,27.7
862,2009,26.4
862,2010,26.8
862,2011,27.4
862,2012,27.2
862,2013,29.4
862,2014,29.5
862,2015,33.1
882,2008,26.9
882,2013,18.8
882,2018,21.9
887,2005,34.8
887,2014,48.6
894,2010,57.0
894,2015,54.4
894,2022,60.0
